id,episode,action,target,param,goal_status,dist_bucket_before,dist_bucket_after,mob_hp_before,mob_hp_after,mob_hp_bucket_before,mob_hp_bucket_after,damage_dealt,own_hp_before,own_hp_after,own_hp_bucket_before,own_hp_bucket_after,damage_taken,hit_landed
33,2,RETREAT,mob1,,INPROGRESS,IN_REACH,IN_REACH,17.36,17.36,HIGH,HIGH,0.0,14.0,20.0,MEDIUM,DEAD,-6.0,false
34,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,UNSEEN,FAR,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
35,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,FAR,FAR,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
36,3,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,FAR,IN_REACH,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
37,3,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,IN_REACH,IN_REACH,20.0,20.0,HIGH,HIGH,0.0,20.0,15.0,HIGH,HIGH,5.0,false
38,3,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,IN_REACH,IN_REACH,20.0,20.0,HIGH,HIGH,0.0,15.0,15.0,HIGH,HIGH,0.0,false
39,3,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,IN_REACH,IN_REACH,20.0,20.0,HIGH,HIGH,0.0,15.0,15.0,HIGH,HIGH,0.0,false
40,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,IN_REACH,IN_REACH,20.0,17.36,HIGH,HIGH,2.6399994,15.0,17.0,HIGH,HIGH,-2.0,true
41,3,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,IN_REACH,IN_REACH,17.36,17.36,HIGH,HIGH,0.0,17.0,17.0,HIGH,HIGH,0.0,false
42,3,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,IN_REACH,IN_REACH,17.36,17.36,HIGH,HIGH,0.0,17.0,17.0,HIGH,HIGH,0.0,false
