episode,actions,total_reward,time_ms,dist_cov,own_hp_cov,mob_hp_cov,actions_cov,state_action_cov_cumulative
1,21,14.736722806243526,20517,4/4,5/5,1/5,3/3,9/108
2,12,9.639918936339994,21328,3/4,5/5,1/5,3/3,11/108
3,30,18.98422284323647,12819,3/4,1/5,4/5,3/3,17/108
