episode,tick,phase,goal_status,own_hp,own_x,own_y,own_z,mob_hp,mob_x,mob_y,mob_z,dist
1,1,equip,SUCCESS. Solved by select iron_sword,20.0,10.5,151.0,4.5,,,,,
1,2,ATTACK,INPROGRESS,20.0,10.5,151.0,4.5,,,,,
1,3,ATTACK,SUCCESS. Solved by wait 20,20.0,10.5,151.0,4.5,,10.514404,151.0,13.244873,8.744884490966797
1,4,ATTACK,INPROGRESS,20.0,10.5,151.0,4.5,,10.510986,151.0,12.902344,8.402351379394531
1,5,ATTACK,SUCCESS. Solved by wait 20,20.0,10.5,151.0,4.5,,10.502441,151.0,10.161865,5.661865711212158
1,6,APPROACH,SUCCESS. Solved by move_to mob1,20.0,10.5,151.0,6.4101186,,10.501465,151.0,9.134277,2.7241592407226562
1,7,APPROACH,SUCCESS. Solved by move_to mob1,20.0,10.5,151.0,6.4101186,,10.501221,151.0,8.791504,2.381385564804077
1,8,APPROACH,SUCCESS. Solved by move_to mob1,20.0,10.5,151.0,6.4101186,,10.500977,151.0,8.448975,2.038856267929077
1,9,APPROACH,SUCCESS. Solved by move_to mob1,20.0,10.5,151.0,6.4101186,,10.500977,151.0,8.448975,2.038856267929077
1,10,APPROACH,SUCCESS. Solved by move_to mob1,20.0,10.5,151.0,6.4101186,,10.500732,151.0,8.106445,1.6963268518447876
1,11,APPROACH,SUCCESS. Solved by move_to mob1,15.0,10.5,151.27513,6.5,,10.500488,151.0,7.649658,1.1821215152740479
1,12,APPROACH,SUCCESS. Solved by move_to mob1,15.0,10.5,151.57535,6.5,,10.500488,151.0,7.649658,1.2855890989303589
1,13,APPROACH,SUCCESS. Solved by move_to mob1,15.0,10.5,151.42528,6.5,,10.500488,151.0,7.1743164,0.7972226738929749
1,14,APPROACH,SUCCESS. Solved by move_to mob1,15.0,10.5,151.0,6.5,,10.500488,151.0,6.996826,0.4968264102935791
1,15,ATTACK,INPROGRESS,16.0,10.5,151.0,6.5,,10.500244,151.0,6.940918,0.4409180283546448
1,16,ATTACK,SUCCESS. Solved by wait 20,18.0,10.5,151.0,6.5,,10.500351,151.0,8.576444,2.076443672180176
1,17,APPROACH,SUCCESS. Solved by move_to mob1,18.0,10.5,151.0,6.5,,10.500351,151.0,8.465848,1.9658479690551758
1,18,APPROACH,SUCCESS. Solved by move_to mob1,18.0,10.5,151.0,6.5,,10.500351,151.0,8.126737,1.6267367601394653
1,19,RETREAT,"SUCCESS. Solved by move_to <10.499057,151.0,2.126737>",14.0,10.5,151.0,3.5,,10.500107,151.0,6.808866,3.308866024017334
1,20,APPROACH,SUCCESS. Solved by move_to mob1,14.0,10.5,151.0,3.5,,10.500107,151.0,6.704374,3.204373836517334
1,21,RETREAT,"SUCCESS. Solved by move_to <10.499901,151.0,0.61428595>",15.0,10.5,151.0,2.6850214,,10.500107,151.0,6.2956824,3.610661029815674
1,22,APPROACH,SUCCESS. Solved by move_to mob1,15.0,10.5,151.0,2.6850214,,10.500107,151.0,5.9570594,3.272037982940674
1,23,RETREAT,INPROGRESS,16.0,10.5,151.0,2.6850214,,10.500107,151.0,5.6150184,2.929996967315674
1,24,RETREAT,INPROGRESS,16.0,10.5,151.0,2.6850214,,10.500107,151.0,5.272733,2.587711811065674
1,25,RETREAT,INPROGRESS,16.0,10.5,151.0,2.6850214,,10.500107,151.0,4.92996,2.244938373565674
1,26,RETREAT,INPROGRESS,16.0,10.5,151.0,2.6850214,,10.500107,151.0,4.5874305,1.9024090766906738
1,27,RETREAT,INPROGRESS,17.0,10.5,151.0,2.6850214,,10.500107,151.0,4.244901,1.5598797798156738
1,28,RETREAT,INPROGRESS,12.0,10.5,151.0,2.6850214,,10.500107,151.0,4.244901,1.5598797798156738
1,29,RETREAT,INPROGRESS,12.0,10.5,151.46635,2.6850214,,10.500107,151.0,3.9023716,1.3036210536956787
1,30,RETREAT,INPROGRESS,12.0,10.5,151.5532,2.6850214,,10.500107,151.0,3.7356236,1.1873514652252197
1,31,RETREAT,INPROGRESS,12.0,10.5,151.2215,2.6850214,,10.500107,151.0,3.4370396,0.7839592695236206
1,32,RETREAT,INPROGRESS,13.0,10.5,151.0,2.6850214,,10.500107,151.0,3.175565,0.4905436038970947
1,33,RETREAT,INPROGRESS,13.0,10.5,151.0,2.6850214,,10.500107,151.0,3.1596959,0.4746744632720947
1,34,RETREAT,INPROGRESS,13.0,10.5,151.0,2.6850214,,10.500107,151.0,3.137479,0.4524576663970947
1,35,RETREAT,INPROGRESS,13.0,10.5,151.0,2.6850214,,10.500107,151.0,3.172147,0.4871256351470947
1,36,RETREAT,INPROGRESS,14.0,10.5,151.0,2.6850214,,10.500107,151.0,3.1819127,0.4968912899494171
1,37,RETREAT,INPROGRESS,14.0,10.5,151.0,2.6850214,,10.500107,151.0,3.185819,0.5007975101470947
1,38,RETREAT,INPROGRESS,9.0,10.5,151.0,2.6850214,,10.500107,151.0,3.1758091,0.4907877445220947
1,39,RETREAT,INPROGRESS,9.0,10.5,151.57535,2.6850214,,10.500107,151.0,3.1765416,0.7567148208618164
1,40,RETREAT,INPROGRESS,10.0,10.5,151.42528,2.6850214,,10.500107,151.0,3.1640904,0.6405999064445496
1,41,RETREAT,INPROGRESS,10.0,10.5,151.0,2.6850214,,10.500107,151.0,3.05911,0.3740885555744171
1,42,RETREAT,INPROGRESS,10.0,10.5,151.0,2.6850214,,10.500107,151.0,2.981229,0.2962076961994171
1,43,RETREAT,INPROGRESS,10.833333,10.5,151.0,2.6850214,,10.500107,151.0,2.982938,0.2979166805744171
1,44,RETREAT,INPROGRESS,10.833333,10.5,151.0,2.6850214,,10.500107,151.0,3.0320103,0.3469889461994171
1,45,RETREAT,INPROGRESS,5.833333,10.5,151.0,2.6850214,,10.500107,151.0,3.0825474,0.3975260555744171
1,46,RETREAT,INPROGRESS,5.833333,10.5,151.46635,2.6850214,,10.500107,151.0,3.1257603,0.6416675448417664
1,47,RETREAT,INPROGRESS,6.4999995,10.5,151.60376,2.6850214,,10.500107,151.0,3.1474888,0.7605274319648743
1,48,RETREAT,INPROGRESS,6.4999995,10.5,151.42528,2.6850214,,10.500107,151.0,3.0979283,0.5927505493164062
1,49,RETREAT,INPROGRESS,6.4999995,10.5,151.0,2.6850214,,10.500107,151.0,3.0622838,0.3772623538970947
1,50,RETREAT,INPROGRESS,6.4999995,10.5,151.0,2.6850214,,10.500107,151.0,3.000028,0.3150065243244171
1,51,RETREAT,INPROGRESS,6.4999995,10.5,151.0,2.6850214,,10.500107,151.0,3.0290806,0.3440592586994171
1,52,RETREAT,INPROGRESS,6.9999995,10.5,151.0,2.6850214,,10.500107,151.0,3.0793736,0.3943522274494171
1,53,RETREAT,INPROGRESS,6.9999995,10.5,151.0,2.6850214,,10.500107,151.0,3.1470006,0.4619791805744171
1,54,RETREAT,INPROGRESS,1.9999995,10.5,151.46635,2.6850214,,10.500107,151.0,3.1648228,0.6691007614135742
1,55,RETREAT,INPROGRESS,1.9999995,10.5,151.60376,2.6850214,,10.500107,151.0,3.1506627,0.7624615430831909
1,56,RETREAT,INPROGRESS,2.3333328,10.5,151.42528,2.6850214,,10.500107,151.0,3.1506627,0.630621075630188
1,57,RETREAT,INPROGRESS,2.3333328,10.5,151.0,2.6850214,,10.500107,151.0,3.0881627,0.4031412899494171
1,58,RETREAT,INPROGRESS,2.3333328,10.5,151.0,2.6850214,,10.500107,151.0,3.0063756,0.3213541805744171
1,59,RETREAT,INPROGRESS,2.3333328,10.5,151.0,2.6850214,,10.500107,151.0,3.0190709,0.3340494930744171
1,60,RETREAT,INPROGRESS,2.4999995,10.5,151.0,2.6850214,,10.500107,151.0,3.0642369,0.3792155086994171
1,61,RETREAT,INPROGRESS,2.4999995,10.5,151.0,2.6850214,,10.500107,151.0,3.1260045,0.4409830570220947
1,62,RETREAT,INPROGRESS,2.4999995,10.5,151.0,2.6850214,,10.500107,151.0,3.1523716,0.4673502445220947
1,63,RETREAT,INPROGRESS,20.0,10.5,151.0,4.254166,,,,,
1,64,RETREAT,INPROGRESS,20.0,10.895486,151.0,4.1045146,,10.585936,151.0,3.6129372,0.5809214115142822
1,65,RETREAT,INPROGRESS,20.0,10.729358,151.0,4.2706423,,10.585936,151.0,3.6129372,0.6731610894203186
1,66,RETREAT,INPROGRESS,20.0,10.590085,151.0,4.4099145,,10.298582,151.0,3.9728005,0.5253975987434387
1,67,RETREAT,INPROGRESS,20.0,10.680171,151.0,4.319829,,10.132811,151.0,3.997947,0.634989321231842
1,68,RETREAT,INPROGRESS,20.0,10.770256,151.0,4.2297435,,10.020506,151.0,3.98574,0.7884560823440552
1,69,RETREAT,INPROGRESS,20.0,10.729358,151.0,4.2706423,,10.020506,151.0,3.98574,0.763963520526886
1,70,RETREAT,INPROGRESS,20.0,10.590085,151.0,4.4099145,,10.113035,151.0,4.130027,0.5530946254730225
1,71,RETREAT,INPROGRESS,20.0,10.680171,151.0,4.319829,,10.123777,151.0,4.1446753,0.5833118557929993
1,72,RETREAT,INPROGRESS,20.0,10.770256,151.0,4.2297435,,10.056395,151.0,4.10781,0.7242002487182617
1,73,RETREAT,INPROGRESS,20.0,10.590085,151.0,4.4099145,,9.942869,151.0,4.0448217,0.7430888414382935
1,74,RETREAT,INPROGRESS,20.0,10.680171,151.0,4.319829,,9.902586,151.0,4.022361,0.8325417637825012
1,75,RETREAT,INPROGRESS,20.0,10.770256,151.0,4.2297435,,9.899168,151.0,4.022361,0.8954339027404785
1,76,RETREAT,INPROGRESS,20.0,10.729358,151.0,4.2706423,,9.899168,151.0,4.022361,0.8665210008621216
1,77,RETREAT,INPROGRESS,20.0,10.590085,151.0,4.4099145,,9.899168,151.0,4.022361,0.7921894788742065
1,78,RETREAT,INPROGRESS,20.0,10.680171,151.0,4.319829,,9.899168,151.0,4.022361,0.835735023021698
1,79,RETREAT,INPROGRESS,20.0,10.770256,151.0,4.2297435,,9.899168,151.0,4.022361,0.8954339027404785
1,80,RETREAT,INPROGRESS,20.0,10.590085,151.0,4.4099145,,9.939695,151.0,4.0545874,0.7411234974861145
1,81,RETREAT,INPROGRESS,20.0,10.819443,151.0,4.1805573,,10.077147,151.0,4.1639624,0.7424817085266113
1,82,RETREAT,INPROGRESS,20.0,10.590085,151.0,4.4099145,,10.001219,151.0,4.114646,0.6587464809417725
1,83,RETREAT,INPROGRESS,20.0,10.680171,151.0,4.319829,,9.875242,151.0,4.02822,0.8561226725578308
1,84,RETREAT,INPROGRESS,20.0,10.770256,151.0,4.2297435,,9.875242,151.0,4.02822,0.9174210429191589
1,85,RETREAT,INPROGRESS,20.0,10.729358,151.0,4.2706423,,9.791014,151.0,3.9662087,0.9864934086799622
