episode,tick,phase,goal_status,own_hp,own_x,own_y,own_z,mob_hp,mob_x,mob_y,mob_z,dist
1,1,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,2,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,3,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,4,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,5,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,6,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,7,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,8,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,9,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,10,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,11,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,12,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,13,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,14,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,15,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,16,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,17,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,18,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,19,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,20,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,21,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,22,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,23,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,24,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,25,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,26,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,27,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,28,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,29,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,30,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,31,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,32,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,33,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,34,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,35,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,36,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,37,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,38,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,39,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,40,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,41,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,42,approach,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
