episode,tick,phase,goal_status,own_hp,own_x,own_y,own_z,mob_hp,mob_x,mob_y,mob_z,dist
1,1,approach,INPROGRESS,20.0,10.5,66.0,4.5,20.0,,,,
1,2,approach,SUCCESS. Solved by move_to mob1,18.5,10.5,66.0,13.5,20.0,10.505859,66.0,12.209473,1.2905406951904297
1,3,hit_1,INPROGRESS,18.5,10.5,66.0,13.5,14.096,10.505859,66.0,12.127686,1.3723269701004028
1,4,hit_1,SUCCESS. Solved by wait 20,20.0,10.5,66.0,13.5,14.096,10.505858,66.0,10.033676,3.4663288593292236
1,5,hit_2,INPROGRESS,20.0,10.5,66.0,13.5,8.191999,10.505858,66.0,10.033676,3.4663288593292236
1,6,hit_2,SUCCESS. Solved by wait 20,20.0,10.5,66.0,13.5,8.191999,10.505858,66.0,8.044961,5.455041885375977
1,7,hit_3,INPROGRESS,20.0,10.5,66.0,13.5,8.191999,10.505858,66.0,8.044961,5.455041885375977
1,8,hit_3,SUCCESS. Solved by wait 20,20.0,10.5,66.0,13.5,8.191999,10.472899,66.0,9.730508,3.76958966255188
1,9,hit_4,INPROGRESS,20.0,10.5,66.0,13.5,2.2879992,10.472899,66.0,9.730508,3.76958966255188
1,10,hit_4,SUCCESS. Solved by wait 20,20.0,10.5,66.0,13.5,2.2879992,10.485229,66.0,9.483368,4.016659259796143
1,11,hit_5,INPROGRESS,20.0,10.5,66.0,13.5,0.0,10.485229,66.0,9.483368,4.016659259796143
1,12,hit_5,SUCCESS. Solved by wait 20,20.0,10.5,66.0,13.5,,,,,
