id,episode,action,target,param,goal_status,dist_bucket_before,dist_bucket_after,mob_hp_before,mob_hp_after,mob_hp_bucket_before,mob_hp_bucket_after,damage_dealt,own_hp_before,own_hp_after,own_hp_bucket_before,own_hp_bucket_after,damage_taken,hit_landed
1,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,UNSEEN,FAR,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
2,1,RETREAT,mob1,,NOT APPLICABLE,FAR,FAR,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
3,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,FAR,FAR,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
4,1,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,FAR,IN_REACH,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
5,1,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,IN_REACH,IN_REACH,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
6,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,IN_REACH,IN_REACH,20.0,17.36,HIGH,HIGH,2.6399994,20.0,20.0,HIGH,HIGH,0.0,true
7,1,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.498522,151.0,3.720643>",IN_REACH,IN_REACH,17.36,17.36,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
8,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,IN_REACH,IN_REACH,17.36,14.720001,HIGH,MEDIUM,2.6399994,20.0,20.0,HIGH,HIGH,0.0,true
9,1,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,IN_REACH,IN_REACH,14.720001,14.720001,MEDIUM,MEDIUM,0.0,20.0,20.0,HIGH,HIGH,0.0,false
10,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,IN_REACH,IN_REACH,14.720001,12.080002,MEDIUM,MEDIUM,2.6399994,20.0,20.0,HIGH,HIGH,0.0,true
