id,episode,action,target,param,goal_status,dist_bucket_before,dist_bucket_after,mob_hp_before,mob_hp_after,mob_hp_bucket_before,mob_hp_bucket_after,damage_dealt,own_hp_before,own_hp_after,own_hp_bucket_before,own_hp_bucket_after,damage_taken,hit_landed
1,1,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,UNSEEN,IN_REACH,20.0,20.0,HIGH,HIGH,0.0,20.0,16.0,HIGH,HIGH,4.0,false
2,1,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,IN_REACH,IN_REACH,20.0,20.0,HIGH,HIGH,0.0,16.0,16.0,HIGH,HIGH,0.0,false
3,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,IN_REACH,IN_REACH,20.0,17.36,HIGH,HIGH,2.6399994,16.0,19.0,HIGH,HIGH,-3.0,true
4,1,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.494438,151.0,16.328531>",IN_REACH,FAR,17.36,17.36,HIGH,HIGH,0.0,19.0,20.0,HIGH,HIGH,-1.0,false
5,1,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,FAR,IN_REACH,17.36,17.36,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
6,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,IN_REACH,IN_REACH,17.36,14.720001,HIGH,HIGH,2.6399994,15.0,17.0,HIGH,HIGH,-2.0,true
7,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,IN_REACH,OUT_OF_REACH,14.720001,12.080002,HIGH,MEDIUM,2.6399994,17.0,19.0,HIGH,HIGH,-2.0,true
8,1,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,OUT_OF_REACH,IN_REACH,12.080002,12.080002,MEDIUM,MEDIUM,0.0,19.0,20.0,HIGH,HIGH,-1.0,false
9,1,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.553269,151.0,16.6954>",IN_REACH,IN_REACH,12.080002,12.080002,MEDIUM,MEDIUM,0.0,20.0,20.0,HIGH,HIGH,0.0,false
10,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,IN_REACH,IN_REACH,12.080002,9.440002,MEDIUM,MEDIUM,2.6399994,20.0,20.0,HIGH,HIGH,0.0,true
