episode,tick,phase,goal_status,own_hp,own_x,own_y,own_z,mob_hp,mob_x,mob_y,mob_z,dist
1,1,equip,SUCCESS. Solved by select iron_sword,20.0,10.5,151.0,4.5,,,,,
1,2,APPROACH,SUCCESS. Solved by move_to mob1,16.0,10.5,151.0,13.5,,10.506348,151.0,12.39209,1.1079283952713013
1,3,APPROACH,SUCCESS. Solved by move_to mob1,16.0,10.5,151.0,13.5,,10.506348,151.0,12.326172,1.1738452911376953
1,4,ATTACK,INPROGRESS,17.0,10.5,151.0,13.5,,10.506348,151.0,12.326172,1.1738452911376953
1,5,ATTACK,SUCCESS. Solved by wait 20,19.0,10.5,151.0,13.5,,10.506236,151.0,10.328544,3.1714625358581543
1,6,RETREAT,"SUCCESS. Solved by move_to <10.494438,151.0,16.328531>",20.0,10.5,150.9375,16.5,,10.426646,151.0,10.381034,6.119725227355957
1,7,APPROACH,SUCCESS. Solved by move_to mob1,20.0,10.5,151.0,13.5,,10.466441,151.0,11.6720495,1.8282585144042969
1,8,ATTACK,INPROGRESS,15.0,10.5,151.0,13.5,,10.473277,151.0,12.014335,1.485905647277832
1,9,ATTACK,SUCCESS. Solved by wait 20,17.0,10.50375,151.0,14.487139,,10.458262,151.0,10.286886,4.200499057769775
1,10,ATTACK,INPROGRESS,17.0,10.50375,151.0,14.487139,,10.458262,151.0,10.286886,4.200499057769775
1,11,ATTACK,SUCCESS. Solved by wait 20,19.0,10.50375,151.0,14.487139,,10.465775,151.0,9.6702585,4.81702995300293
1,12,APPROACH,SUCCESS. Solved by move_to mob1,20.0,10.500415,151.0,12.577034,,10.476273,151.0,10.695893,1.8812956809997559
1,13,RETREAT,"SUCCESS. Solved by move_to <10.553269,151.0,16.6954>",20.0,10.500415,150.9375,16.5,,10.490921,151.0,12.408296,4.092192649841309
1,14,ATTACK,INPROGRESS,20.0,10.500415,150.9375,16.5,,10.490921,151.0,12.408296,4.092192649841309
1,15,ATTACK,SUCCESS. Solved by wait 20,20.0,10.500415,150.9375,16.5,,10.496035,151.0,12.161725,4.3387274742126465
1,16,ATTACK,INPROGRESS,20.0,10.500415,150.9375,16.5,,10.496035,151.0,12.161725,4.3387274742126465
1,17,ATTACK,SUCCESS. Solved by wait 20,20.0,10.500415,150.9375,16.5,,10.497188,151.0,11.913333,4.587093830108643
1,18,ATTACK,INPROGRESS,20.0,10.500415,150.9375,16.5,,10.497188,151.0,11.913333,4.587093830108643
1,19,ATTACK,SUCCESS. Solved by wait 20,20.0,10.500415,150.9375,16.5,,10.4979925,151.0,11.667131,4.833273410797119
1,20,RETREAT,"SUCCESS. Solved by move_to <10.500999,150.9375,17.66713>",20.0,10.500415,150.9375,17.314978,,10.498237,151.0,12.007952,5.307394504547119
1,21,APPROACH,SUCCESS. Solved by move_to mob1,20.0,10.500415,150.9375,15.683261,,10.498969,151.0,13.0352955,2.6487033367156982
1,22,ATTACK,INPROGRESS,20.0,10.500415,150.9375,15.683261,,10.499213,151.0,13.378069,2.306039333343506
