episode,tick,phase,goal_status,own_hp,own_x,own_y,own_z,mob_hp,mob_x,mob_y,mob_z,dist
1,1,equip,SUCCESS. Solved by select iron_sword,20.0,10.5,151.0,4.5,,,,,
1,2,APPROACH,SUCCESS. Solved by move_to mob1,16.0,10.5,151.0,13.5,,10.504883,151.0,12.071289,1.4287192821502686
1,3,APPROACH,SUCCESS. Solved by move_to mob1,16.0,10.5,151.0,13.5,,10.504883,151.0,12.013672,1.4863361120224
1,4,APPROACH,SUCCESS. Solved by move_to mob1,16.0,10.5,151.0,13.5,,10.504883,151.0,11.955811,1.5441972017288208
1,5,APPROACH,SUCCESS. Solved by move_to mob1,17.0,10.5,151.0,13.5,,10.504883,151.0,11.950684,1.5493241548538208
1,6,APPROACH,SUCCESS. Solved by move_to mob1,17.0,10.5,151.0,13.5,,10.504883,151.0,11.950684,1.5493241548538208
1,7,APPROACH,SUCCESS. Solved by move_to mob1,17.0,10.5,151.0,13.5,,10.504883,151.0,11.950684,1.5493241548538208
1,8,APPROACH,SUCCESS. Solved by move_to mob1,17.0,10.5,151.0,13.5,,10.504883,151.0,11.950684,1.5493241548538208
1,9,RETREAT,"SUCCESS. Solved by move_to <10.635303,151.0,17.948154>",14.0,10.503423,150.9375,17.5,,10.454834,151.0,13.407959,4.092806816101074
1,10,RETREAT,"SUCCESS. Solved by move_to <10.5260725,150.9375,19.407536>",14.0,10.501421,151.0,18.314972,,10.470459,151.0,14.092285,4.222800254821777
1,11,RETREAT,"SUCCESS. Solved by move_to <10.514452,151.0,20.092125>",15.0,10.500421,151.0,19.39695,,10.478027,151.0,14.7771,4.619904518127441
1,12,APPROACH,SUCCESS. Solved by move_to mob1,12.0,10.500421,150.9375,16.5,,10.493652,150.9375,16.816895,0.31696680188179016
1,13,APPROACH,SUCCESS. Solved by move_to mob1,12.0,10.500421,150.9375,16.5,,10.494629,150.9375,16.802246,0.3023015856742859
1,14,RETREAT,"SUCCESS. Solved by move_to <10.603262,150.9375,10.795164>",14.0,10.500421,151.0,12.628191,,10.569092,150.9375,16.969482,4.342284202575684
1,15,APPROACH,SUCCESS. Solved by move_to mob1,14.0,10.500421,151.0,14.5,,10.5271,150.9375,16.293213,1.7944999933242798
1,16,RETREAT,"SUCCESS. Solved by move_to <10.437842,151.0,10.293877>",10.5,10.498688,151.0,11.5,,10.511475,151.0,14.923828,3.42385196685791
1,17,RETREAT,"SUCCESS. Solved by move_to <10.488331,151.0,8.757123>",10.5,10.499689,151.0,10.685023,,10.509033,151.0,14.348389,3.663377285003662
1,18,RETREAT,"SUCCESS. Solved by move_to <10.49373,151.0,8.348408>",11.0,10.499689,151.0,9.6030445,,10.506348,151.0,13.781738,4.178699016571045
1,19,ATTACK,INPROGRESS,11.0,10.499689,151.0,9.6030445,,10.506348,151.0,13.781738,4.178699016571045
1,20,ATTACK,SUCCESS. Solved by wait 20,11.666666,10.499689,151.0,9.6030445,,10.503797,151.0,14.02752,4.424477577209473
