id,episode,action,target,param,goal_status,dist_bucket_before,dist_bucket_after,mob_hp_before,mob_hp_after,mob_hp_bucket_before,mob_hp_bucket_after,damage_dealt,own_hp_before,own_hp_after,own_hp_bucket_before,own_hp_bucket_after,damage_taken,hit_landed
1,1,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,UNSEEN,IN_REACH,20.0,20.0,HIGH,HIGH,0.0,20.0,16.0,HIGH,HIGH,4.0,false
2,1,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,IN_REACH,IN_REACH,20.0,20.0,HIGH,HIGH,0.0,16.0,16.0,HIGH,HIGH,0.0,false
3,1,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,IN_REACH,IN_REACH,20.0,20.0,HIGH,HIGH,0.0,16.0,16.0,HIGH,HIGH,0.0,false
4,1,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,IN_REACH,IN_REACH,20.0,20.0,HIGH,HIGH,0.0,16.0,17.0,HIGH,HIGH,-1.0,false
5,1,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,IN_REACH,IN_REACH,20.0,20.0,HIGH,HIGH,0.0,17.0,17.0,HIGH,HIGH,0.0,false
6,1,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,IN_REACH,IN_REACH,20.0,20.0,HIGH,HIGH,0.0,17.0,17.0,HIGH,HIGH,0.0,false
7,1,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,IN_REACH,IN_REACH,20.0,20.0,HIGH,HIGH,0.0,17.0,17.0,HIGH,HIGH,0.0,false
8,1,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.635303,151.0,17.948154>",IN_REACH,IN_REACH,20.0,20.0,HIGH,HIGH,0.0,17.0,14.0,HIGH,MEDIUM,3.0,false
9,1,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.5260725,150.9375,19.407536>",IN_REACH,IN_REACH,20.0,20.0,HIGH,HIGH,0.0,14.0,14.0,MEDIUM,MEDIUM,0.0,false
10,1,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.514452,151.0,20.092125>",IN_REACH,OUT_OF_REACH,20.0,20.0,HIGH,HIGH,0.0,14.0,15.0,MEDIUM,HIGH,-1.0,false
