id,episode,action,target,param,goal_status,mob_hp_before,mob_hp_after,mob_hp_bucket_before,mob_hp_bucket_after,damage_dealt,own_hp_before,own_hp_after,own_hp_bucket_before,own_hp_bucket_after,damage_taken,hit_landed
1,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
2,1,RETREAT,mob1,,NOT APPLICABLE,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
3,1,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,20.0,20.0,HIGH,HIGH,0.0,20.0,16.0,HIGH,HIGH,4.0,false
4,1,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,20.0,20.0,HIGH,HIGH,0.0,16.0,16.0,HIGH,HIGH,0.0,false
5,1,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,20.0,20.0,HIGH,HIGH,0.0,16.0,16.0,HIGH,HIGH,0.0,false
6,1,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.484435,66.0,15.831029>",20.0,20.0,HIGH,HIGH,0.0,16.0,14.0,HIGH,HIGH,2.0,false
7,1,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.504132,65.9375,17.516308>",20.0,20.0,HIGH,HIGH,0.0,14.0,14.0,HIGH,HIGH,0.0,false
8,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,20.0,20.0,HIGH,HIGH,0.0,14.0,16.0,HIGH,HIGH,-2.0,false
9,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,20.0,17.36,HIGH,HIGH,2.6399994,16.0,18.0,HIGH,HIGH,-2.0,true
10,1,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,17.36,17.36,HIGH,HIGH,0.0,18.0,15.0,HIGH,HIGH,3.0,false
11,1,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,17.36,17.36,HIGH,HIGH,0.0,15.0,15.0,HIGH,HIGH,0.0,false
12,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,17.36,14.720001,HIGH,HIGH,2.6399994,15.0,16.5,HIGH,HIGH,-1.5,true
13,1,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,14.720001,14.720001,HIGH,HIGH,0.0,16.5,16.5,HIGH,HIGH,0.0,false
14,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,14.720001,12.080002,HIGH,MEDIUM,2.6399994,11.5,12.333333,MEDIUM,MEDIUM,-0.833333,true
15,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,12.080002,9.440002,MEDIUM,MEDIUM,2.6399994,12.333333,12.666667,MEDIUM,MEDIUM,-0.33333397,true
16,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,9.440002,6.8000026,MEDIUM,MEDIUM,2.6399999,12.833334,13.000001,MEDIUM,MEDIUM,-0.16666698,true
17,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,6.8000026,4.1600027,MEDIUM,LOW,2.6399999,13.000001,13.000001,MEDIUM,MEDIUM,0.0,true
18,1,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,4.1600027,4.1600027,LOW,LOW,0.0,13.000001,13.000001,MEDIUM,MEDIUM,0.0,false
19,1,RETREAT,mob1,,INPROGRESS,4.1600027,4.1600027,LOW,LOW,0.0,13.000001,20.0,MEDIUM,DEAD,-6.999999,false
20,2,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,20.0,20.0,HIGH,HIGH,0.0,20.0,16.0,HIGH,HIGH,4.0,false
21,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,20.0,17.36,HIGH,HIGH,2.6399994,16.0,18.0,HIGH,HIGH,-2.0,true
22,2,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.496731,66.0,15.898691>",17.36,17.36,HIGH,HIGH,0.0,18.0,19.0,HIGH,HIGH,-1.0,false
23,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,17.36,17.36,HIGH,HIGH,0.0,19.0,20.0,HIGH,HIGH,-1.0,false
24,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,17.36,14.720001,HIGH,HIGH,2.6399994,20.0,20.0,HIGH,HIGH,0.0,true
25,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,14.720001,12.080002,HIGH,MEDIUM,2.6399994,20.0,20.0,HIGH,HIGH,0.0,true
26,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,12.080002,9.440002,MEDIUM,MEDIUM,2.6399994,20.0,20.0,HIGH,HIGH,0.0,true
27,2,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.501275,65.9375,17.754707>",9.440002,9.440002,MEDIUM,MEDIUM,0.0,20.0,20.0,HIGH,HIGH,0.0,false
28,2,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,9.440002,9.440002,MEDIUM,MEDIUM,0.0,20.0,20.0,HIGH,HIGH,0.0,false
29,2,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,9.440002,9.440002,MEDIUM,MEDIUM,0.0,20.0,20.0,HIGH,HIGH,0.0,false
30,2,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,9.440002,9.440002,MEDIUM,MEDIUM,0.0,20.0,20.0,HIGH,HIGH,0.0,false
31,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,9.440002,6.8000026,MEDIUM,MEDIUM,2.6399999,20.0,20.0,HIGH,HIGH,0.0,true
32,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,6.8000026,4.1600027,MEDIUM,LOW,2.6399999,20.0,20.0,HIGH,HIGH,0.0,true
33,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,4.1600027,1.5200028,LOW,LOW,2.6399999,20.0,20.0,HIGH,HIGH,0.0,true
34,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,1.5200028,0.0,LOW,DEAD,1.5200028,20.0,20.0,HIGH,HIGH,0.0,true
35,3,RETREAT,mob1,,NOT APPLICABLE,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
36,3,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,20.0,20.0,HIGH,HIGH,0.0,20.0,16.0,HIGH,HIGH,4.0,false
37,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,20.0,17.36,HIGH,HIGH,2.6399994,16.0,18.0,HIGH,HIGH,-2.0,true
38,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,17.36,14.720001,HIGH,HIGH,2.6399994,18.0,20.0,HIGH,HIGH,-2.0,true
39,3,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,14.720001,14.720001,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
40,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,14.720001,12.080002,HIGH,MEDIUM,2.6399994,20.0,20.0,HIGH,HIGH,0.0,true
41,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,12.080002,9.440002,MEDIUM,MEDIUM,2.6399994,20.0,20.0,HIGH,HIGH,0.0,true
42,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,9.440002,6.8000026,MEDIUM,MEDIUM,2.6399999,20.0,20.0,HIGH,HIGH,0.0,true
43,3,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,6.8000026,6.8000026,MEDIUM,MEDIUM,0.0,20.0,20.0,HIGH,HIGH,0.0,false
44,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,6.8000026,4.1600027,MEDIUM,LOW,2.6399999,20.0,20.0,HIGH,HIGH,0.0,true
45,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,4.1600027,1.5200028,LOW,LOW,2.6399999,20.0,20.0,HIGH,HIGH,0.0,true
46,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,1.5200028,,LOW,DEAD,1.5200028,20.0,20.0,HIGH,HIGH,0.0,true
