id,episode,action,target,param,goal_status,dist_bucket_before,dist_bucket_after,mob_hp_before,mob_hp_after,mob_hp_bucket_before,mob_hp_bucket_after,damage_dealt,own_hp_before,own_hp_after,own_hp_bucket_before,own_hp_bucket_after,damage_taken,hit_landed
1,1,RETREAT,mob1,,NOT APPLICABLE,UNSEEN,UNSEEN,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
2,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,UNSEEN,FAR,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
3,1,RETREAT,mob1,,NOT APPLICABLE,FAR,FAR,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
4,1,RETREAT,mob1,,NOT APPLICABLE,FAR,FAR,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
5,1,RETREAT,mob1,,NOT APPLICABLE,FAR,FAR,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
6,1,RETREAT,mob1,,NOT APPLICABLE,FAR,FAR,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
7,1,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,FAR,IN_REACH,20.0,20.0,HIGH,HIGH,0.0,20.0,16.0,HIGH,HIGH,4.0,false
8,1,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,IN_REACH,IN_REACH,20.0,20.0,HIGH,HIGH,0.0,16.0,16.0,HIGH,HIGH,0.0,false
9,1,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.269613,151.0,16.43885>",IN_REACH,OUT_OF_REACH,20.0,20.0,HIGH,HIGH,0.0,16.0,18.0,HIGH,HIGH,-2.0,false
10,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,OUT_OF_REACH,OUT_OF_REACH,20.0,17.36,HIGH,HIGH,2.6399994,18.0,20.0,HIGH,HIGH,-2.0,true
11,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,OUT_OF_REACH,IN_REACH,17.36,17.36,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
12,1,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.520683,150.9375,20.095894>",IN_REACH,IN_REACH,17.36,17.36,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
13,1,RETREAT,mob1,,INPROGRESS,IN_REACH,IN_REACH,17.36,17.36,HIGH,HIGH,0.0,20.0,10.833333,HIGH,DEAD,9.166667,false
14,2,RETREAT,mob1,,NOT APPLICABLE,UNSEEN,UNSEEN,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
15,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,UNSEEN,FAR,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
16,2,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,FAR,IN_REACH,20.0,20.0,HIGH,HIGH,0.0,20.0,15.0,HIGH,HIGH,5.0,false
17,2,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.359248,151.0,16.38598>",IN_REACH,OUT_OF_REACH,20.0,20.0,HIGH,HIGH,0.0,15.0,18.0,HIGH,HIGH,-3.0,false
18,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,OUT_OF_REACH,IN_REACH,20.0,20.0,HIGH,HIGH,0.0,18.0,20.0,HIGH,HIGH,-2.0,false
19,2,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,IN_REACH,IN_REACH,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
20,2,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,IN_REACH,IN_REACH,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
21,2,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,IN_REACH,IN_REACH,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
22,2,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,IN_REACH,IN_REACH,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
23,2,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,IN_REACH,IN_REACH,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
24,2,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,IN_REACH,IN_REACH,20.0,20.0,HIGH,HIGH,0.0,20.0,15.0,HIGH,HIGH,5.0,false
25,2,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.526554,151.21263,20.202785>",IN_REACH,IN_REACH,20.0,20.0,HIGH,HIGH,0.0,15.0,12.0,HIGH,MEDIUM,3.0,false
26,2,RETREAT,mob1,,INPROGRESS,IN_REACH,IN_REACH,20.0,20.0,HIGH,HIGH,0.0,12.0,15.0,MEDIUM,DEAD,-3.0,false
27,3,RETREAT,mob1,,NOT APPLICABLE,UNSEEN,UNSEEN,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
28,3,RETREAT,mob1,,NOT APPLICABLE,UNSEEN,UNSEEN,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
29,3,RETREAT,mob1,,NOT APPLICABLE,UNSEEN,UNSEEN,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
30,3,RETREAT,mob1,,NOT APPLICABLE,UNSEEN,UNSEEN,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
31,3,RETREAT,mob1,,NOT APPLICABLE,UNSEEN,UNSEEN,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
32,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,UNSEEN,FAR,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
33,3,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,FAR,IN_REACH,20.0,20.0,HIGH,HIGH,0.0,20.0,15.0,HIGH,HIGH,5.0,false
34,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,IN_REACH,IN_REACH,20.0,17.36,HIGH,HIGH,2.6399994,15.0,17.0,HIGH,HIGH,-2.0,true
35,3,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,IN_REACH,IN_REACH,17.36,17.36,HIGH,HIGH,0.0,18.0,18.0,HIGH,HIGH,0.0,false
36,3,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,IN_REACH,IN_REACH,17.36,17.36,HIGH,HIGH,0.0,18.0,18.0,HIGH,HIGH,0.0,false
37,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,IN_REACH,IN_REACH,17.36,14.720001,HIGH,MEDIUM,2.6399994,18.0,20.0,HIGH,HIGH,-2.0,true
38,3,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,IN_REACH,IN_REACH,14.720001,14.720001,MEDIUM,MEDIUM,0.0,20.0,20.0,HIGH,HIGH,0.0,false
39,3,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,IN_REACH,IN_REACH,14.720001,14.720001,MEDIUM,MEDIUM,0.0,20.0,20.0,HIGH,HIGH,0.0,false
40,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,IN_REACH,IN_REACH,14.720001,12.080002,MEDIUM,MEDIUM,2.6399994,20.0,20.0,HIGH,HIGH,0.0,true
