episode,actions,total_reward,time_ms,dist_cov,own_hp_cov,mob_hp_cov,actions_cov,state_action_cov_cumulative
1,13,10.776020881938894,21510,4/4,5/5,1/5,3/3,7/108
2,13,10.347025717526543,17323,4/4,5/5,1/5,3/3,8/108
3,22,13.76720455180887,12155,3/4,1/5,5/5,3/3,12/108
4,30,18.925616689689054,8437,3/4,3/5,1/5,3/3,16/108
5,30,17.64093000881466,13043,3/4,1/5,4/5,3/3,18/108
6,19,12.38932020929172,19901,2/4,5/5,1/5,3/3,19/108
7,30,15.535314951797087,11735,4/4,1/5,4/5,3/3,20/108
8,21,13.758902631988919,18486,3/4,5/5,2/5,3/3,21/108
9,15,10.363000631505216,19027,3/4,5/5,1/5,3/3,21/108
10,26,14.219668512041935,11322,3/4,2/5,5/5,3/3,21/108
