episode,tick,phase,goal_status,own_hp,own_x,own_y,own_z,mob_hp,mob_x,mob_y,mob_z,dist
1,1,approach,INPROGRESS,20.0,10.5,66.0,4.5,20.0,,,,
1,2,approach,SUCCESS. Solved by move_to mob1,18.5,10.5,66.0,13.5,20.0,10.504639,66.0,12.019775,1.4802318811416626
1,3,hit_1,INPROGRESS,18.5,10.5,66.0,13.5,14.096,10.504395,66.0,11.80127,1.6987361907958984
1,4,hit_1,SUCCESS. Solved by wait 20,20.0,10.5,66.0,13.5,14.096,10.504278,66.0,9.71313,3.786872386932373
1,5,hit_2,INPROGRESS,20.0,10.5,66.0,13.5,8.191999,10.504278,66.0,9.71313,3.786872386932373
1,6,hit_2,SUCCESS. Solved by wait 20,20.0,10.5,66.0,13.5,8.191999,10.58753,66.0,7.62206,5.878592014312744
1,7,hit_3,INPROGRESS,20.0,10.5,66.0,13.5,8.191999,10.58753,66.0,7.62206,5.878592014312744
1,8,hit_3,SUCCESS. Solved by wait 20,20.0,10.5,66.0,13.5,8.191999,10.564581,66.0,8.305654,5.1947479248046875
1,9,hit_4,INPROGRESS,20.0,10.5,66.0,13.5,8.191999,10.564581,66.0,8.305654,5.1947479248046875
1,10,hit_4,SUCCESS. Solved by wait 20,20.0,10.5,66.0,13.5,8.191999,10.507696,66.0,10.701161,2.798849105834961
1,11,hit_5,INPROGRESS,20.0,10.5,66.0,13.5,2.2879992,10.507696,66.0,10.701161,2.798849105834961
1,12,hit_5,SUCCESS. Solved by wait 20,20.0,10.5,66.0,13.5,2.2879992,10.504002,66.0,10.455666,3.044337034225464
1,13,hit_6,INPROGRESS,20.0,10.5,66.0,13.5,0.0,10.504002,66.0,10.455666,3.044337034225464
1,14,hit_6,SUCCESS. Solved by wait 20,20.0,10.5,66.0,13.5,,,,,
