episode,tick,phase,goal_status,own_hp,own_x,own_y,own_z,mob_hp,mob_x,mob_y,mob_z,dist
1,1,equip,SUCCESS. Solved by select iron_sword,20.0,10.5,66.0,4.5,,,,,
1,2,APPROACH,SUCCESS. Solved by move_to mob1,16.0,11.466629,66.0,12.5,,10.455566,66.0,11.953125,1.149486780166626
1,3,RETREAT,"SUCCESS. Solved by move_to <15.73303,66.0,14.80766>",18.0,15.5618,65.9375,14.5,,10.972412,66.0,11.674316,5.389886379241943
1,4,RETREAT,"SUCCESS. Solved by move_to <16.289808,65.9375,14.9802>",11.0,16.5,65.9375,14.58825,,15.1796875,65.9375,14.189697,1.3791553974151611
1,5,APPROACH,SUCCESS. Solved by move_to mob1,11.0,16.5,65.9375,14.58825,,15.200439,65.9375,14.209717,1.3535676002502441
1,6,ATTACK,INPROGRESS,11.0,16.5,65.9375,14.58825,,15.200439,65.9375,14.209717,1.3535676002502441
1,7,ATTACK,SUCCESS. Solved by wait 20,13.0,16.5,65.9375,14.58825,,13.7266245,66.0,13.600247,2.9447693824768066
1,8,ATTACK,INPROGRESS,14.0,16.5,65.9375,14.58825,,13.947328,66.0,13.5709505,2.7486252784729004
1,9,ATTACK,SUCCESS. Solved by wait 20,15.833333,16.5,65.9375,14.58825,,13.364463,66.0,13.332267,3.378312349319458
1,10,ATTACK,INPROGRESS,15.833333,16.5,65.9375,14.58825,,13.662314,66.0,13.495353,3.041511297225952
1,11,ATTACK,SUCCESS. Solved by wait 20,16.833332,16.5,65.9375,14.58825,,13.06054,66.0,13.425162,3.631330728530884
1,12,APPROACH,SUCCESS. Solved by move_to mob1,16.833332,15.688173,65.9375,14.516649,,13.68139,66.0,13.699332,2.167739152908325
1,13,RETREAT,"SUCCESS. Solved by move_to <19.238197,65.9375,15.962493>",17.333332,18.5,66.0,15.524674,,15.24096,65.9375,14.402213,3.4474868774414062
1,14,ATTACK,INPROGRESS,17.333332,18.5,66.0,15.524674,,15.24096,65.9375,14.402213,3.4474868774414062
1,15,ATTACK,SUCCESS. Solved by wait 20,17.666664,18.5,66.0,15.524674,,14.95653,65.9375,14.240933,3.7693605422973633
1,16,APPROACH,SUCCESS. Solved by move_to mob1,12.83333,16.5,66.0,15.502996,,16.118883,65.9375,14.546109,1.031886339187622
1,17,RETREAT,"SUCCESS. Solved by move_to <18.338999,66.0,20.120255>",12.83333,18.496813,66.0,19.5,,17.682848,66.0,15.452603,4.128432750701904
1,18,APPROACH,SUCCESS. Solved by move_to mob1,12.83333,17.5,66.0,18.5,,18.275866,66.0,15.611295,2.991084098815918
1,19,ATTACK,INPROGRESS,12.83333,17.5,66.0,18.5,,18.275866,66.0,15.611295,2.991084098815918
1,20,ATTACK,SUCCESS. Solved by wait 20,12.83333,17.5,66.0,18.5,,18.857052,66.0,15.115067,3.64682936668396
1,21,ATTACK,INPROGRESS,12.83333,17.5,66.0,18.5,,18.857052,66.0,15.115067,3.64682936668396
1,22,ATTACK,SUCCESS. Solved by wait 20,12.83333,17.5,66.0,18.5,,19.129032,66.0,14.805861,4.0373759269714355
1,23,APPROACH,SUCCESS. Solved by move_to mob1,8.83333,18.507538,66.0,16.64936,,18.577518,66.0,16.544388,0.12616094946861267
1,24,ATTACK,INPROGRESS,8.83333,18.507538,66.0,16.64936,,18.567997,66.0,16.654251,0.060656603425741196
1,25,ATTACK,SUCCESS. Solved by wait 20,8.83333,18.507538,66.0,16.64936,,19.138771,66.0,18.391935,1.8533811569213867
1,26,ATTACK,INPROGRESS,8.83333,18.507538,66.0,16.64936,,19.138771,66.0,18.391935,1.8533811569213867
1,27,ATTACK,SUCCESS. Solved by wait 20,8.83333,18.507538,66.0,16.64936,,,,,
2,1,equip,SUCCESS. Solved by select iron_sword,20.0,10.5,66.0,4.5,,,,,
2,2,ATTACK,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
2,3,ATTACK,SUCCESS. Solved by wait 20,20.0,10.5,66.0,4.5,,10.517822,66.0,13.701416,9.201433181762695
2,4,ATTACK,INPROGRESS,20.0,10.5,66.0,4.5,,10.517822,66.0,13.701416,9.201433181762695
2,5,ATTACK,SUCCESS. Solved by wait 20,20.0,10.5,66.0,4.5,,10.504883,66.0,11.303711,6.803712368011475
2,6,APPROACH,SUCCESS. Solved by move_to mob1,15.0,10.5,66.0,8.371809,,10.501953,66.0,9.59082,1.2190128564834595
2,7,RETREAT,"SUCCESS. Solved by move_to <10.491437,66.0,3.2482996>",17.0,10.5,66.0,4.5,,10.501221,66.0,8.856445,4.3564453125
2,8,RETREAT,"SUCCESS. Solved by move_to <10.499539,66.0,2.8564453>",17.0,10.5,66.0,4.5,,10.501221,66.0,8.856445,4.3564453125
2,9,ATTACK,INPROGRESS,17.0,10.5,66.0,4.5,,10.501221,66.0,8.856445,4.3564453125
2,10,ATTACK,SUCCESS. Solved by wait 20,19.0,10.5,66.0,4.5,,10.500488,66.0,7.166504,2.66650390625
2,11,RETREAT,"SUCCESS. Solved by move_to <10.499614,66.0,0.8239746>",20.0,10.5,66.0,2.5898817,,10.500244,66.0,5.7963867,3.206505060195923
2,12,ATTACK,INPROGRESS,20.0,10.5,66.0,2.5898817,,10.500244,66.0,5.7963867,3.206505060195923
2,13,ATTACK,SUCCESS. Solved by wait 20,20.0,10.5,66.0,2.5898817,,10.499894,66.0,6.042993,3.453111410140991
2,14,ATTACK,INPROGRESS,20.0,10.5,66.0,2.5898817,,10.499894,66.0,6.042993,3.453111410140991
2,15,ATTACK,SUCCESS. Solved by wait 20,20.0,10.5,66.0,2.5898817,,10.500074,66.0,6.290603,3.700721502304077
2,16,ATTACK,INPROGRESS,20.0,10.5,66.0,2.5898817,,10.500074,66.0,6.290603,3.700721502304077
2,17,ATTACK,SUCCESS. Solved by wait 20,20.0,10.5,66.0,2.5898817,,10.500011,66.0,6.537986,3.9481041431427
2,18,ATTACK,INPROGRESS,20.0,10.5,66.0,2.5898817,,10.500011,66.0,6.537986,3.9481041431427
2,19,ATTACK,SUCCESS. Solved by wait 20,20.0,10.5,66.0,2.5898817,,10.499996,66.0,6.785613,4.195731163024902
2,20,ATTACK,INPROGRESS,20.0,10.5,66.0,2.5898817,,10.499996,66.0,6.785613,4.195731163024902
2,21,ATTACK,SUCCESS. Solved by wait 20,20.0,10.5,66.0,2.5898817,,10.499996,66.0,7.0334845,4.443602561950684
2,22,ATTACK,INPROGRESS,20.0,10.5,66.0,2.5898817,,10.499996,66.0,7.0334845,4.443602561950684
2,23,ATTACK,SUCCESS. Solved by wait 20,20.0,10.5,66.0,2.5898817,,10.499996,66.0,7.2811112,4.691229820251465
2,24,RETREAT,"SUCCESS. Solved by move_to <10.500001,66.0,1.2811112>",20.0,10.5,66.0,2.5898817,,10.499996,66.0,7.2811112,4.691229820251465
2,25,APPROACH,SUCCESS. Solved by move_to mob1,20.0,10.5,66.0,4.5,,10.499996,66.0,6.2545,1.754499912261963
2,26,ATTACK,INPROGRESS,20.0,10.5,66.0,4.5,,10.499996,66.0,6.2545,1.754499912261963
2,27,ATTACK,SUCCESS. Solved by wait 20,17.0,10.5,66.0,3.512296,,10.499996,66.0,6.4982877,2.9859917163848877
2,28,APPROACH,SUCCESS. Solved by move_to mob1,17.0,10.5,66.0,3.512296,,10.499996,66.0,6.158932,2.6466362476348877
2,29,RETREAT,"SUCCESS. Solved by move_to <10.500005,66.0,0.15893221>",20.0,12.525362,66.0,1.6631621,,10.836228,66.0,3.1372473,2.241896390914917
3,1,equip,SUCCESS. Solved by select iron_sword,20.0,10.5,66.0,4.5,,,,,
3,2,APPROACH,SUCCESS. Solved by move_to mob1,16.0,10.5,66.0,13.5,,10.505859,66.0,12.274658,1.2253557443618774
3,3,ATTACK,INPROGRESS,16.0,10.5,66.0,13.5,,10.505859,66.0,12.274658,1.2253557443618774
3,4,ATTACK,SUCCESS. Solved by wait 20,18.0,10.5,66.0,13.5,,10.505565,66.0,9.866722,3.63328218460083
3,5,ATTACK,INPROGRESS,18.0,10.5,66.0,13.5,,10.505565,66.0,9.866722,3.63328218460083
3,6,ATTACK,SUCCESS. Solved by wait 20,20.0,10.5,66.0,13.5,,10.505565,66.0,7.8781443,5.621858596801758
3,7,ATTACK,INPROGRESS,20.0,10.5,66.0,13.5,,10.505565,66.0,7.8781443,5.621858596801758
3,8,ATTACK,SUCCESS. Solved by wait 20,20.0,10.5,66.0,13.5,,10.445262,66.0,8.879365,4.620959281921387
3,9,APPROACH,SUCCESS. Solved by move_to mob1,20.0,10.5,66.0,11.589882,,10.468944,66.0,9.905,1.6851682662963867
3,10,ATTACK,INPROGRESS,20.0,10.5,66.0,11.589882,,10.468944,66.0,9.905,1.6851682662963867
3,11,ATTACK,SUCCESS. Solved by wait 20,17.0,10.503875,66.0,12.57702,,10.472639,66.0,9.659016,2.9181711673736572
3,12,ATTACK,INPROGRESS,17.0,10.503875,66.0,12.57702,,10.4750805,66.0,10.00008,2.5771005153656006
3,13,ATTACK,SUCCESS. Solved by wait 20,19.0,10.503875,66.0,12.57702,,10.485082,66.0,9.75225,2.8248324394226074
3,14,ATTACK,INPROGRESS,19.0,10.503875,66.0,12.57702,,10.485082,66.0,9.75225,2.8248324394226074
3,15,ATTACK,SUCCESS. Solved by wait 20,20.0,10.503875,66.0,12.57702,,10.490873,66.0,9.16796,3.4090843200683594
3,16,RETREAT,"SUCCESS. Solved by move_to <10.513756,66.0,15.167916>",20.0,10.50054,66.0,14.5,,10.494535,66.0,10.188956,4.3110480308532715
3,17,ATTACK,INPROGRESS,20.0,10.50054,66.0,14.5,,10.494535,66.0,10.188956,4.3110480308532715
3,18,ATTACK,SUCCESS. Solved by wait 20,20.0,10.50054,66.0,14.5,,10.49665,66.0,9.943278,4.556723117828369
3,19,APPROACH,SUCCESS. Solved by move_to mob1,20.0,10.500206,66.0,12.589882,,10.49787,66.0,10.968913,1.6209704875946045
3,20,APPROACH,SUCCESS. Solved by move_to mob1,15.0,10.500206,66.0,12.589882,,10.49787,66.0,10.968913,1.6209704875946045
3,21,RETREAT,"SUCCESS. Solved by move_to <10.507548,66.0,17.259678>",16.5,10.500206,65.9375,16.5,,10.499091,66.0,12.244548,4.255911350250244
3,22,APPROACH,SUCCESS. Solved by move_to mob1,16.5,10.500206,65.9375,15.685021,,10.499091,66.0,12.472087,3.2135424613952637
3,23,RETREAT,"SUCCESS. Solved by move_to <10.501173,65.9375,18.472086>",17.0,10.500206,65.9375,17.31674,,10.499579,66.0,13.477702,3.8395466804504395
3,24,RETREAT,"SUCCESS. Solved by move_to <10.500559,65.9375,19.477703>",17.333334,10.500206,66.0,18.398718,,10.499824,66.0,14.162761,4.235957145690918
3,25,APPROACH,SUCCESS. Solved by move_to mob1,17.5,10.500206,65.9375,16.5,,10.499824,66.0,15.190349,1.311141848564148
3,26,RETREAT,INPROGRESS,12.5,10.659774,66.40385,16.992285,,10.499824,65.9375,15.567058,1.5080901384353638
3,27,RETREAT,INPROGRESS,12.5,10.707484,66.490715,16.556759,,10.500068,65.9375,15.771403,0.9827776551246643
3,28,RETREAT,INPROGRESS,12.666667,10.518528,66.159,16.57425,,10.473212,65.9375,16.09855,0.5266909003257751
3,29,RETREAT,INPROGRESS,12.666667,10.754395,65.9375,16.796907,,10.419745,65.9375,16.00529,0.8594473004341125
3,30,RETREAT,INPROGRESS,12.666667,10.590085,65.9375,16.590086,,10.38581,65.9375,15.879558,0.7393097281455994
3,31,RETREAT,INPROGRESS,12.666667,10.819443,65.9375,16.819443,,10.38581,65.9375,15.879558,1.035094976425171
3,32,RETREAT,INPROGRESS,12.833334,10.590085,65.9375,16.590086,,10.38581,65.9375,15.859294,0.7588052153587341
3,33,RETREAT,INPROGRESS,12.833334,10.680171,65.9375,16.68017,,10.38581,65.9375,15.859294,0.8720585107803345
3,34,RETREAT,INPROGRESS,7.833334,10.953153,66.40385,17.153078,,10.394843,65.9375,15.910319,1.4400132894515991
3,35,RETREAT,INPROGRESS,7.833334,10.518017,66.54127,17.518017,,10.394843,65.9375,15.910319,1.7217427492141724
3,36,RETREAT,INPROGRESS,7.833334,10.536035,66.36278,17.536034,,10.434882,65.9375,16.134684,1.4679491519927979
3,37,RETREAT,INPROGRESS,7.833334,10.554051,65.9375,17.55405,,10.440009,65.9375,16.186441,1.3723556995391846
3,38,RETREAT,INPROGRESS,7.833334,10.783409,66.0,17.78341,,10.440009,65.9375,16.19108,1.630135416984558
3,39,RETREAT,INPROGRESS,7.833334,10.590085,65.9375,17.590086,,10.440009,65.9375,16.19108,1.4070324897766113
3,40,RETREAT,INPROGRESS,7.833334,10.680171,65.9375,17.68017,,10.440009,65.9375,16.19108,1.508332371711731
3,41,RETREAT,INPROGRESS,7.833334,10.770256,66.0,17.770256,,10.440009,65.9375,16.19108,1.6145482063293457
3,42,RETREAT,INPROGRESS,7.833334,10.590085,65.9375,17.590086,,10.440009,65.9375,16.19108,1.4070324897766113
3,43,RETREAT,INPROGRESS,2.833334,10.785638,66.47983,18.080385,,10.442451,65.9375,16.242838,1.9464010000228882
3,44,RETREAT,INPROGRESS,2.833334,10.518017,66.690216,18.518017,,10.444648,65.9375,16.322916,2.321730375289917
3,45,RETREAT,INPROGRESS,2.833334,10.536035,66.58182,18.536034,,10.45246,65.9375,16.630777,2.012990713119507
3,46,RETREAT,INPROGRESS,2.833334,10.554051,66.16724,18.55405,,10.461738,65.9375,16.967203,1.6060463190078735
3,47,RETREAT,INPROGRESS,2.833334,10.783409,66.0,18.78341,,10.461738,65.9375,16.967203,1.8455305099487305
3,48,RETREAT,INPROGRESS,2.833334,10.590085,66.0,18.590086,,10.4654,65.9375,17.176432,1.420517921447754
3,49,RETREAT,INPROGRESS,2.833334,10.680171,66.0,18.68017,,10.4654,65.9375,17.210367,1.4867256879806519
3,50,RETREAT,INPROGRESS,2.833334,10.770256,66.0,18.770256,,10.4654,65.9375,17.213541,1.5875154733657837
3,51,RETREAT,INPROGRESS,2.833334,10.729358,66.0,18.729357,,10.4654,65.9375,17.213541,1.5398951768875122
3,52,RETREAT,INPROGRESS,2.833334,10.590085,66.0,18.590086,,10.466865,65.9375,17.265299,1.331972360610962
3,53,RETREAT,INPROGRESS,20.0,10.5,66.0,5.74894,,,,,
3,54,RETREAT,INPROGRESS,20.0,10.5,66.0,6.059301,,,,,
3,55,RETREAT,INPROGRESS,20.0,10.5,66.0,6.6274,,,,,
3,56,RETREAT,INPROGRESS,20.0,10.5,66.0,6.951761,,10.548876,65.9375,16.885414,9.933969497680664
