id,episode,action,target,param,goal_status,mob_hp_before,mob_hp_after,mob_hp_bucket_before,mob_hp_bucket_after,damage_dealt,own_hp_before,own_hp_after,own_hp_bucket_before,own_hp_bucket_after,damage_taken,hit_landed
1,1,RETREAT,mob1,,NOT APPLICABLE,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
2,1,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,20.0,20.0,HIGH,HIGH,0.0,20.0,16.0,HIGH,HIGH,4.0,false
3,1,RETREAT,mob1,,"SUCCESS. Solved by move_to <15.73303,66.0,14.80766>",20.0,20.0,HIGH,HIGH,0.0,16.0,18.0,HIGH,HIGH,-2.0,false
4,1,RETREAT,mob1,,"SUCCESS. Solved by move_to <16.289808,65.9375,14.9802>",20.0,20.0,HIGH,HIGH,0.0,18.0,11.0,HIGH,MEDIUM,7.0,false
5,1,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,20.0,20.0,HIGH,HIGH,0.0,11.0,11.0,MEDIUM,MEDIUM,0.0,false
6,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,20.0,17.36,HIGH,HIGH,2.6399994,11.0,13.0,MEDIUM,MEDIUM,-2.0,true
7,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,17.36,14.720001,HIGH,HIGH,2.6399994,14.0,15.833333,HIGH,HIGH,-1.833333,true
8,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,14.720001,12.080002,HIGH,MEDIUM,2.6399994,15.833333,16.833332,HIGH,HIGH,-0.99999905,true
9,1,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,12.080002,12.080002,MEDIUM,MEDIUM,0.0,16.833332,16.833332,HIGH,HIGH,0.0,false
10,1,RETREAT,mob1,,"SUCCESS. Solved by move_to <19.238197,65.9375,15.962493>",12.080002,12.080002,MEDIUM,MEDIUM,0.0,16.833332,17.333332,HIGH,HIGH,-0.5,false
11,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,12.080002,9.440002,MEDIUM,MEDIUM,2.6399994,17.333332,17.666664,HIGH,HIGH,-0.33333206,true
12,1,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,9.440002,9.440002,MEDIUM,MEDIUM,0.0,17.666664,12.83333,HIGH,MEDIUM,4.833334,false
13,1,RETREAT,mob1,,"SUCCESS. Solved by move_to <18.338999,66.0,20.120255>",9.440002,9.440002,MEDIUM,MEDIUM,0.0,12.83333,12.83333,MEDIUM,MEDIUM,0.0,false
14,1,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,9.440002,9.440002,MEDIUM,MEDIUM,0.0,12.83333,12.83333,MEDIUM,MEDIUM,0.0,false
15,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,9.440002,6.8000026,MEDIUM,MEDIUM,2.6399999,12.83333,12.83333,MEDIUM,MEDIUM,0.0,true
16,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,6.8000026,4.1600027,MEDIUM,LOW,2.6399999,12.83333,12.83333,MEDIUM,MEDIUM,0.0,true
17,1,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,4.1600027,4.1600027,LOW,LOW,0.0,12.83333,8.83333,MEDIUM,MEDIUM,4.0,false
18,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,4.1600027,1.5200028,LOW,LOW,2.6399999,8.83333,8.83333,MEDIUM,MEDIUM,0.0,true
19,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,1.5200028,,LOW,DEAD,1.5200028,8.83333,8.83333,MEDIUM,MEDIUM,0.0,true
20,2,RETREAT,mob1,,NOT APPLICABLE,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
21,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
22,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
23,2,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,20.0,20.0,HIGH,HIGH,0.0,20.0,15.0,HIGH,HIGH,5.0,false
24,2,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.491437,66.0,3.2482996>",20.0,20.0,HIGH,HIGH,0.0,15.0,17.0,HIGH,HIGH,-2.0,false
25,2,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.499539,66.0,2.8564453>",20.0,20.0,HIGH,HIGH,0.0,17.0,17.0,HIGH,HIGH,0.0,false
26,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,20.0,20.0,HIGH,HIGH,0.0,17.0,19.0,HIGH,HIGH,-2.0,false
27,2,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.499614,66.0,0.8239746>",20.0,20.0,HIGH,HIGH,0.0,19.0,20.0,HIGH,HIGH,-1.0,false
28,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,20.0,17.36,HIGH,HIGH,2.6399994,20.0,20.0,HIGH,HIGH,0.0,true
29,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,17.36,14.720001,HIGH,HIGH,2.6399994,20.0,20.0,HIGH,HIGH,0.0,true
30,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,14.720001,12.080002,HIGH,MEDIUM,2.6399994,20.0,20.0,HIGH,HIGH,0.0,true
31,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,12.080002,9.440002,MEDIUM,MEDIUM,2.6399994,20.0,20.0,HIGH,HIGH,0.0,true
32,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,9.440002,6.8000026,MEDIUM,MEDIUM,2.6399999,20.0,20.0,HIGH,HIGH,0.0,true
33,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,6.8000026,4.1600027,MEDIUM,LOW,2.6399999,20.0,20.0,HIGH,HIGH,0.0,true
34,2,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.500001,66.0,1.2811112>",4.1600027,4.1600027,LOW,LOW,0.0,20.0,20.0,HIGH,HIGH,0.0,false
35,2,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,4.1600027,4.1600027,LOW,LOW,0.0,20.0,20.0,HIGH,HIGH,0.0,false
36,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,4.1600027,1.5200028,LOW,LOW,2.6399999,20.0,17.0,HIGH,HIGH,3.0,true
37,2,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,1.5200028,1.5200028,LOW,LOW,0.0,17.0,17.0,HIGH,HIGH,0.0,false
38,2,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.500005,66.0,0.15893221>",1.5200028,1.5200028,LOW,LOW,0.0,17.0,20.0,HIGH,DEAD,-3.0,false
39,3,RETREAT,mob1,,NOT APPLICABLE,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
40,3,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,20.0,20.0,HIGH,HIGH,0.0,20.0,16.0,HIGH,HIGH,4.0,false
41,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,20.0,17.36,HIGH,HIGH,2.6399994,16.0,18.0,HIGH,HIGH,-2.0,true
42,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,17.36,14.720001,HIGH,HIGH,2.6399994,18.0,20.0,HIGH,HIGH,-2.0,true
43,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,14.720001,14.720001,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
44,3,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,14.720001,14.720001,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
45,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,14.720001,12.080002,HIGH,MEDIUM,2.6399994,20.0,17.0,HIGH,HIGH,3.0,true
46,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,12.080002,9.440002,MEDIUM,MEDIUM,2.6399994,17.0,19.0,HIGH,HIGH,-2.0,true
47,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,9.440002,6.8000026,MEDIUM,MEDIUM,2.6399999,19.0,20.0,HIGH,HIGH,-1.0,true
48,3,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.513756,66.0,15.167916>",6.8000026,6.8000026,MEDIUM,MEDIUM,0.0,20.0,20.0,HIGH,HIGH,0.0,false
49,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,6.8000026,4.1600027,MEDIUM,LOW,2.6399999,20.0,20.0,HIGH,HIGH,0.0,true
50,3,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,4.1600027,4.1600027,LOW,LOW,0.0,20.0,20.0,HIGH,HIGH,0.0,false
51,3,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,4.1600027,4.1600027,LOW,LOW,0.0,20.0,15.0,HIGH,HIGH,5.0,false
52,3,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.507548,66.0,17.259678>",4.1600027,4.1600027,LOW,LOW,0.0,15.0,16.5,HIGH,HIGH,-1.5,false
53,3,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,4.1600027,4.1600027,LOW,LOW,0.0,16.5,16.5,HIGH,HIGH,0.0,false
54,3,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.501173,65.9375,18.472086>",4.1600027,4.1600027,LOW,LOW,0.0,16.5,17.0,HIGH,HIGH,-0.5,false
55,3,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.500559,65.9375,19.477703>",4.1600027,4.1600027,LOW,LOW,0.0,17.0,17.333334,HIGH,HIGH,-0.33333397,false
56,3,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,4.1600027,4.1600027,LOW,LOW,0.0,17.333334,17.5,HIGH,HIGH,-0.16666603,false
57,3,RETREAT,mob1,,INPROGRESS,4.1600027,4.1600027,LOW,LOW,0.0,12.5,20.0,MEDIUM,DEAD,-7.5,false
