id,episode,action,target,param,goal_status,dist_bucket_before,dist_bucket_after,mob_hp_before,mob_hp_after,mob_hp_bucket_before,mob_hp_bucket_after,damage_dealt,own_hp_before,own_hp_after,own_hp_bucket_before,own_hp_bucket_after,damage_taken,hit_landed
1,1,RETREAT,mob1,,NOT APPLICABLE,UNSEEN,UNSEEN,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
2,1,RETREAT,mob1,,NOT APPLICABLE,UNSEEN,UNSEEN,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
3,1,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,UNSEEN,IN_REACH,20.0,20.0,HIGH,HIGH,0.0,20.0,16.0,HIGH,HIGH,4.0,false
4,1,RETREAT,mob1,,"SUCCESS. Solved by move_to <9.292413,66.0,17.863987>",IN_REACH,FAR,20.0,20.0,HIGH,HIGH,0.0,16.0,18.0,HIGH,HIGH,-2.0,false
5,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,FAR,OUT_OF_REACH,20.0,20.0,HIGH,HIGH,0.0,18.0,20.0,HIGH,HIGH,-2.0,false
6,1,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.449143,65.9375,18.495327>",OUT_OF_REACH,IN_REACH,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
7,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,IN_REACH,OUT_OF_REACH,20.0,17.36,HIGH,HIGH,2.6399994,20.0,20.0,HIGH,HIGH,0.0,true
8,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,OUT_OF_REACH,IN_REACH,17.36,17.36,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
9,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,IN_REACH,IN_REACH,17.36,14.720001,HIGH,HIGH,2.6399994,20.0,20.0,HIGH,HIGH,0.0,true
10,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,IN_REACH,IN_REACH,14.720001,12.080002,HIGH,MEDIUM,2.6399994,20.0,20.0,HIGH,HIGH,0.0,true
11,1,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.490808,65.9375,20.479177>",IN_REACH,IN_REACH,12.080002,12.080002,MEDIUM,MEDIUM,0.0,20.0,20.0,HIGH,HIGH,0.0,false
12,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,IN_REACH,IN_REACH,12.080002,9.440002,MEDIUM,MEDIUM,2.6399994,20.0,20.0,HIGH,HIGH,0.0,true
13,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,IN_REACH,IN_REACH,9.440002,6.8000026,MEDIUM,MEDIUM,2.6399999,20.0,20.0,HIGH,HIGH,0.0,true
