id,episode,action,target,param,goal_status,dist_bucket_before,dist_bucket_after,mob_hp_before,mob_hp_after,mob_hp_bucket_before,mob_hp_bucket_after,damage_dealt,own_hp_before,own_hp_after,own_hp_bucket_before,own_hp_bucket_after,damage_taken,hit_landed
14,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,IN_REACH,IN_REACH,6.8000026,4.1600027,MEDIUM,LOW,2.6399999,20.0,20.0,HIGH,HIGH,0.0,true
15,1,RETREAT,mob1,,INPROGRESS,IN_REACH,IN_REACH,4.1600027,4.1600027,LOW,LOW,0.0,20.0,20.0,HIGH,DEAD,0.0,false
16,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,UNSEEN,FAR,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
17,2,RETREAT,mob1,,NOT APPLICABLE,FAR,FAR,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
18,2,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,FAR,IN_REACH,20.0,20.0,HIGH,HIGH,0.0,20.0,16.0,HIGH,HIGH,4.0,false
19,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,IN_REACH,IN_REACH,20.0,17.36,HIGH,HIGH,2.6399994,16.0,18.0,HIGH,HIGH,-2.0,true
20,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,IN_REACH,IN_REACH,17.36,14.720001,HIGH,HIGH,2.6399994,18.0,20.0,HIGH,HIGH,-2.0,true
21,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,IN_REACH,IN_REACH,14.720001,14.720001,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
22,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,IN_REACH,IN_REACH,14.720001,12.080002,HIGH,MEDIUM,2.6399994,20.0,20.0,HIGH,HIGH,0.0,true
23,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,IN_REACH,IN_REACH,12.080002,9.440002,MEDIUM,MEDIUM,2.6399994,20.0,20.0,HIGH,HIGH,0.0,true
24,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,IN_REACH,OUT_OF_REACH,9.440002,6.8000026,MEDIUM,MEDIUM,2.6399999,20.0,20.0,HIGH,HIGH,0.0,true
25,2,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.496629,66.0,10.145901>",OUT_OF_REACH,IN_REACH,6.8000026,6.8000026,MEDIUM,MEDIUM,0.0,20.0,20.0,HIGH,HIGH,0.0,false
26,2,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,IN_REACH,IN_REACH,6.8000026,6.8000026,MEDIUM,MEDIUM,0.0,20.0,20.0,HIGH,HIGH,0.0,false
27,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,IN_REACH,IN_REACH,6.8000026,4.1600027,MEDIUM,LOW,2.6399999,15.0,17.0,HIGH,HIGH,-2.0,true
28,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,IN_REACH,IN_REACH,4.1600027,1.5200028,LOW,LOW,2.6399999,17.0,19.0,HIGH,HIGH,-2.0,true
29,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,IN_REACH,OUT_OF_REACH,1.5200028,0.0,LOW,DEAD,1.5200028,19.0,20.0,HIGH,HIGH,-1.0,true
30,3,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,UNSEEN,IN_REACH,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
31,3,RETREAT,mob1,,"SUCCESS. Solved by move_to <13.868384,66.0,7.873847>",IN_REACH,IN_REACH,20.0,20.0,HIGH,HIGH,0.0,20.0,16.0,HIGH,HIGH,4.0,false
32,3,RETREAT,mob1,,"SUCCESS. Solved by move_to <15.442199,66.0,8.0251465>",IN_REACH,IN_REACH,20.0,20.0,HIGH,HIGH,0.0,16.0,16.0,HIGH,HIGH,0.0,false
33,3,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,IN_REACH,IN_REACH,20.0,20.0,HIGH,HIGH,0.0,16.0,17.0,HIGH,HIGH,-1.0,false
34,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,IN_REACH,IN_REACH,20.0,17.36,HIGH,HIGH,2.6399994,17.0,19.0,HIGH,HIGH,-2.0,true
35,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,IN_REACH,IN_REACH,17.36,14.720001,HIGH,HIGH,2.6399994,19.0,20.0,HIGH,HIGH,-1.0,true
36,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,IN_REACH,IN_REACH,14.720001,12.080002,HIGH,MEDIUM,2.6399994,20.0,20.0,HIGH,HIGH,0.0,true
37,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,IN_REACH,IN_REACH,12.080002,9.440002,MEDIUM,MEDIUM,2.6399994,20.0,20.0,HIGH,HIGH,0.0,true
38,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,IN_REACH,IN_REACH,9.440002,6.8000026,MEDIUM,MEDIUM,2.6399999,20.0,20.0,HIGH,HIGH,0.0,true
39,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,IN_REACH,IN_REACH,6.8000026,4.1600027,MEDIUM,LOW,2.6399999,20.0,20.0,HIGH,HIGH,0.0,true
40,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,IN_REACH,IN_REACH,4.1600027,1.5200028,LOW,LOW,2.6399999,20.0,20.0,HIGH,HIGH,0.0,true
41,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,IN_REACH,OUT_OF_REACH,1.5200028,0.0,LOW,DEAD,1.5200028,20.0,20.0,HIGH,HIGH,0.0,true
