episode,tick,phase,goal_status,own_hp,own_x,own_y,own_z,mob_hp,mob_x,mob_y,mob_z,dist
1,1,approach,INPROGRESS,20.0,10.5,66.0,4.5,20.0,,,,
1,2,approach,SUCCESS. Solved by move_to mob1,18.5,10.5,66.0,13.5,20.0,10.505859,66.0,12.2438965,1.2561171054840088
1,3,hit_1,INPROGRESS,18.5,10.5,66.0,13.5,14.096,10.505859,66.0,12.170166,1.3298468589782715
1,4,hit_1,SUCCESS. Solved by wait 20,20.0,10.5,66.0,13.5,14.096,10.505858,66.0,10.086842,3.413163423538208
1,5,hit_2,INPROGRESS,20.0,10.5,66.0,13.5,8.191999,10.505858,66.0,10.086842,3.413163423538208
1,6,hit_2,SUCCESS. Solved by wait 20,20.0,10.5,66.0,13.5,8.191999,10.505858,66.0,8.098166,5.40183687210083
1,7,hit_3,INPROGRESS,20.0,10.5,66.0,13.5,8.191999,10.505858,66.0,8.098166,5.40183687210083
1,8,hit_3,SUCCESS. Solved by wait 20,20.0,10.5,66.0,13.5,8.191999,10.465087,66.0,9.441916,4.058233737945557
1,9,hit_4,INPROGRESS,20.0,10.5,66.0,13.5,2.2879992,10.470458,66.0,9.784202,3.7159156799316406
1,10,hit_4,SUCCESS. Solved by wait 20,20.0,10.5,66.0,13.5,2.2879992,10.482789,66.0,9.536542,3.9634954929351807
1,11,hit_5,INPROGRESS,20.0,10.5,66.0,13.5,0.0,10.482789,66.0,9.536542,3.9634954929351807
1,12,hit_5,SUCCESS. Solved by wait 20,20.0,10.5,66.0,13.5,0.0,10.48493,66.0,7.9306235,5.56939697265625
