id,episode,action,target,param,goal_status,mob_hp_before,mob_hp_after,damage_dealt,own_hp_before,own_hp_after,damage_taken,hit_landed
1,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,20.0,20.0,0.0,20.0,20.0,0.0,false
2,1,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,20.0,20.0,0.0,20.0,12.0,8.0,false
3,1,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.090117,66.2215,16.443302>",20.0,20.0,0.0,12.0,15.0,-3.0,false
4,1,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,20.0,20.0,0.0,15.0,15.0,0.0,false
5,1,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.53573,66.0,18.138138>",20.0,20.0,0.0,15.0,17.0,-2.0,false
6,1,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.506019,65.9375,19.508274>",20.0,20.0,0.0,17.0,18.0,-1.0,false
7,1,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,20.0,20.0,0.0,18.0,11.0,7.0,false
8,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,20.0,17.36,2.6399994,11.0,13.0,-2.0,true
9,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,17.36,14.720001,2.6399994,13.0,14.833333,-1.833333,true
10,1,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.500279,65.9375,18.222107>",14.720001,14.720001,0.0,14.833333,8.333332,6.500001,false
11,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,14.720001,12.080002,2.6399994,8.333332,8.666666,-0.33333397,true
12,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,12.080002,9.440002,2.6399994,8.666666,0.66666603,8.0,true
13,1,RETREAT,mob1,,INPROGRESS,9.440002,9.440002,0.0,0.66666603,5.4999995,-4.8333335,false
14,2,RETREAT,mob1,,NOT APPLICABLE,20.0,20.0,0.0,20.0,20.0,0.0,false
15,2,RETREAT,mob1,,NOT APPLICABLE,20.0,20.0,0.0,20.0,20.0,0.0,false
16,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,20.0,20.0,0.0,20.0,20.0,0.0,false
17,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,20.0,20.0,0.0,20.0,20.0,0.0,false
18,2,RETREAT,mob1,,NOT APPLICABLE,20.0,20.0,0.0,20.0,20.0,0.0,false
19,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,20.0,20.0,0.0,20.0,20.0,0.0,false
20,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,20.0,20.0,0.0,20.0,20.0,0.0,false
21,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,20.0,17.36,2.6399994,20.0,20.0,0.0,true
22,2,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,17.36,17.36,0.0,20.0,20.0,0.0,false
23,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,17.36,14.720001,2.6399994,20.0,20.0,0.0,true
24,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,14.720001,12.080002,2.6399994,20.0,20.0,0.0,true
