id,episode,action,target,param,goal_status,mob_hp_before,mob_hp_after,damage_dealt,own_hp_before,own_hp_after,damage_taken,hit_landed
25,2,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,12.080002,12.080002,0.0,20.0,20.0,0.0,false
26,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,12.080002,9.440002,2.6399994,20.0,20.0,0.0,true
27,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,9.440002,6.8000026,2.6399999,20.0,20.0,0.0,true
28,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,6.8000026,4.1600027,2.6399999,20.0,20.0,0.0,true
29,2,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,4.1600027,4.1600027,0.0,20.0,20.0,0.0,false
30,2,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,4.1600027,4.1600027,0.0,20.0,12.0,8.0,false
31,2,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.500008,66.0,1.6511621>",4.1600027,4.1600027,0.0,12.0,13.0,-1.0,false
32,2,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.500002,66.0,0.5090723>",4.1600027,4.1600027,0.0,13.0,13.0,0.0,false
33,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,4.1600027,1.5200028,2.6399999,13.0,15.0,-2.0,true
34,2,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,1.5200028,1.5200028,0.0,15.0,16.0,-1.0,false
35,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,1.5200028,,,16.0,18.0,-2.0,false
36,3,RETREAT,mob1,,NOT APPLICABLE,20.0,20.0,0.0,20.0,20.0,0.0,false
37,3,RETREAT,mob1,,NOT APPLICABLE,20.0,20.0,0.0,20.0,20.0,0.0,false
38,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,20.0,20.0,0.0,20.0,20.0,0.0,false
39,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,20.0,20.0,0.0,20.0,20.0,0.0,false
40,3,RETREAT,mob1,,NOT APPLICABLE,20.0,20.0,0.0,20.0,20.0,0.0,false
41,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,20.0,20.0,0.0,20.0,20.0,0.0,false
42,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,20.0,20.0,0.0,20.0,20.0,0.0,false
43,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,20.0,17.36,2.6399994,20.0,20.0,0.0,true
44,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,17.36,14.720001,2.6399994,20.0,20.0,0.0,true
45,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,14.720001,12.080002,2.6399994,20.0,20.0,0.0,true
46,3,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.500092,66.0,1.8209572>",12.080002,12.080002,0.0,20.0,20.0,0.0,false
47,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,12.080002,9.440002,2.6399994,20.0,20.0,0.0,true
48,3,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.499982,66.0,1.7248268>",9.440002,9.440002,0.0,20.0,20.0,0.0,false
49,3,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,9.440002,9.440002,0.0,20.0,20.0,0.0,false
50,3,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,9.440002,9.440002,0.0,20.0,20.0,0.0,false
51,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,9.440002,6.8000026,2.6399999,20.0,20.0,0.0,true
52,3,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,6.8000026,6.8000026,0.0,20.0,20.0,0.0,false
53,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,6.8000026,4.1600027,2.6399999,20.0,20.0,0.0,true
54,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,4.1600027,1.5200028,2.6399999,20.0,20.0,0.0,true
55,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,1.5200028,,,20.0,20.0,0.0,false
