episode,tick,phase,goal_status,own_hp,own_x,own_y,own_z,mob_hp,mob_x,mob_y,mob_z,dist
1,1,approach,INPROGRESS,20.0,10.5,66.0,4.5,20.0,,,,
1,2,approach,SUCCESS. Solved by move_to mob1,16.0,10.5,66.0,13.5,20.0,10.510742,66.0,12.817383,0.6827017068862915
1,3,hit_1,INPROGRESS,16.0,10.5,66.0,13.5,17.36,10.510742,66.0,13.039795,0.46033042669296265
1,4,hit_1,SUCCESS. Solved by wait 20,18.0,10.5,66.0,13.5,17.36,10.575715,66.0,11.220482,2.2807750701904297
1,5,hit_2,INPROGRESS,18.0,10.5,66.0,13.5,14.720001,10.575715,66.0,11.220482,2.2807750701904297
1,6,hit_2,SUCCESS. Solved by wait 20,20.0,10.5,66.0,13.5,14.720001,10.638117,66.0,9.232818,4.269416809082031
1,7,hit_3,INPROGRESS,20.0,10.5,66.0,13.5,12.080002,10.638117,66.0,9.232818,4.269416809082031
1,8,hit_3,SUCCESS. Solved by wait 20,20.0,10.5,66.0,13.5,12.080002,10.6992445,66.0,7.2453327,6.257840156555176
1,9,hit_4,INPROGRESS,20.0,10.5,66.0,13.5,12.080002,10.6992445,66.0,7.2453327,6.257840156555176
1,10,hit_4,SUCCESS. Solved by wait 20,20.0,10.5,66.0,13.5,12.080002,10.513942,66.0,8.361788,5.13823127746582
1,11,hit_5,INPROGRESS,20.0,10.5,66.0,13.5,12.080002,10.513942,66.0,8.361788,5.13823127746582
1,12,hit_5,SUCCESS. Solved by wait 20,20.0,10.5,66.0,13.5,12.080002,10.503932,66.0,10.759493,2.7405099868774414
1,13,hit_6,INPROGRESS,20.0,10.5,66.0,13.5,9.440002,10.503932,66.0,10.759493,2.7405099868774414
1,14,hit_6,SUCCESS. Solved by wait 20,20.0,10.5,66.0,13.5,9.440002,10.502427,66.0,10.514027,2.9859743118286133
1,15,hit_7,INPROGRESS,20.0,10.5,66.0,13.5,6.8000026,10.502427,66.0,10.514027,2.9859743118286133
1,16,hit_7,SUCCESS. Solved by wait 20,20.0,10.5,66.0,13.5,6.8000026,10.501894,66.0,9.928314,3.571686267852783
1,17,hit_8,INPROGRESS,20.0,10.5,66.0,13.5,4.1600027,10.50165,66.0,10.265472,3.234528064727783
1,18,hit_8,SUCCESS. Solved by wait 20,20.0,10.5,66.0,13.5,4.1600027,10.501445,66.0,10.017079,3.4829208850860596
1,19,hit_9,INPROGRESS,20.0,10.5,66.0,13.5,1.5200028,10.501445,66.0,10.017079,3.4829208850860596
1,20,hit_9,SUCCESS. Solved by wait 20,20.0,10.5,66.0,13.5,1.5200028,10.501115,66.0,9.769943,3.7300570011138916
