episode,tick,phase,goal_status,own_hp,own_x,own_y,own_z,mob_hp,mob_x,mob_y,mob_z,dist
1,1,equip,SUCCESS. Solved by select iron_sword,20.0,10.5,66.0,4.5,,,,,
1,2,ATTACK,INPROGRESS,20.0,10.5,66.0,4.5,,,,,
1,3,ATTACK,SUCCESS. Solved by wait 20,20.0,10.5,66.0,4.5,,10.517822,66.0,13.701416,9.201433181762695
1,4,APPROACH,SUCCESS. Solved by move_to mob1,15.0,10.5,66.2215,10.5,,10.50293,66.0,10.420898,0.23521558940410614
1,5,APPROACH,SUCCESS. Solved by move_to mob1,15.0,10.5,66.0,10.5,,10.502686,66.0,10.397217,0.10281828045845032
1,6,ATTACK,INPROGRESS,16.0,10.5,66.0,10.5,,10.502686,66.0,10.397217,0.10281828045845032
1,7,ATTACK,SUCCESS. Solved by wait 20,18.0,10.5,66.0,10.5,,10.438238,66.0,8.026545,2.474226474761963
1,8,APPROACH,SUCCESS. Solved by move_to mob1,18.0,10.5,66.0,10.5,,10.438238,66.0,8.026545,2.474226474761963
1,9,RETREAT,"SUCCESS. Solved by move_to <10.588011,66.0,14.024675>",19.0,10.5,66.0,13.5,,10.483648,66.0,9.7225895,3.7774457931518555
1,10,ATTACK,INPROGRESS,19.0,10.5,66.0,13.5,,10.483648,66.0,9.7225895,3.7774457931518555
1,11,ATTACK,SUCCESS. Solved by wait 20,20.0,10.5,66.0,13.5,,10.491022,66.0,9.475816,4.024194240570068
1,12,RETREAT,"SUCCESS. Solved by move_to <10.504408,66.0,15.4758005>",20.0,10.5,66.0,14.314979,,10.492487,66.0,9.817613,4.497372627258301
1,13,APPROACH,SUCCESS. Solved by move_to mob1,20.0,10.5,66.0,12.683261,,10.495661,66.0,10.733872,1.949393391609192
1,14,ATTACK,INPROGRESS,20.0,10.5,66.0,12.683261,,10.495661,66.0,10.733872,1.949393391609192
1,15,ATTACK,SUCCESS. Solved by wait 20,20.0,10.5,66.0,12.683261,,10.4982,66.0,10.484439,2.1988227367401123
1,16,RETREAT,"SUCCESS. Solved by move_to <10.503111,66.0,16.484436>",20.0,10.5,65.9375,16.5,,10.499177,66.0,12.082095,4.418346881866455
1,17,APPROACH,SUCCESS. Solved by move_to mob1,20.0,10.5,65.9375,15.685021,,10.499421,66.0,12.767154,2.918536901473999
1,18,ATTACK,INPROGRESS,20.0,10.5,65.9375,15.685021,,10.499421,66.0,12.767154,2.918536901473999
1,19,ATTACK,SUCCESS. Solved by wait 20,20.0,10.5,65.9375,15.685021,,10.499872,66.0,12.520566,3.165072441101074
1,20,APPROACH,SUCCESS. Solved by move_to mob1,15.0,10.5,66.21262,15.5,,10.500116,66.0,14.375302,1.1446194648742676
1,21,APPROACH,SUCCESS. Solved by move_to mob1,15.0,10.5,66.40385,15.5,,10.500116,66.0,14.375302,1.1950050592422485
1,22,ATTACK,INPROGRESS,15.0,10.5,66.40385,15.5,,10.500116,66.0,14.375302,1.1950050592422485
