id,episode,action,target,param,goal_status,mob_hp_before,mob_hp_after,mob_hp_bucket_before,mob_hp_bucket_after,damage_dealt,own_hp_before,own_hp_after,own_hp_bucket_before,own_hp_bucket_after,damage_taken,hit_landed
37,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,1.5200028,,LOW,DEAD,,20.0,20.0,HIGH,HIGH,0.0,false
38,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
39,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
40,3,RETREAT,mob1,,NOT APPLICABLE,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
41,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
42,3,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
43,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,20.0,17.36,HIGH,HIGH,2.6399994,20.0,16.0,HIGH,HIGH,4.0,true
44,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,17.36,14.720001,HIGH,HIGH,2.6399994,16.0,18.0,HIGH,HIGH,-2.0,true
45,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,14.720001,12.080002,HIGH,MEDIUM,2.6399994,18.0,20.0,HIGH,HIGH,-2.0,true
46,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,12.080002,9.440002,MEDIUM,MEDIUM,2.6399994,20.0,20.0,HIGH,HIGH,0.0,true
47,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,9.440002,6.8000026,MEDIUM,MEDIUM,2.6399999,20.0,20.0,HIGH,HIGH,0.0,true
48,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,6.8000026,4.1600027,MEDIUM,LOW,2.6399999,20.0,20.0,HIGH,HIGH,0.0,true
49,3,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,4.1600027,4.1600027,LOW,LOW,0.0,20.0,20.0,HIGH,HIGH,0.0,false
50,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,4.1600027,1.5200028,LOW,LOW,2.6399999,20.0,20.0,HIGH,HIGH,0.0,true
51,3,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,1.5200028,1.5200028,LOW,LOW,0.0,20.0,20.0,HIGH,HIGH,0.0,false
52,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,1.5200028,,LOW,DEAD,,20.0,20.0,HIGH,HIGH,0.0,false
